,Clave,Descripción,Existencia,Unidad
64,AS-MR6070-PC,Marco y Rejilla 60x70,0.0,PIEZA
65,AS-MTAP5050-PC,Marco y Tapa p/Agua Potable 50x50,0.0,PIEZA
66,AS-MTC4060-PC,Marco y Tapa Ciega 40x60,0.0,PIEZA
67,AS-MTC6070-PC,Marco y Tapa Ciego 60x70 c/Bisagra,0.0,PIEZA
68,AS-R14C-PC,Rejilla con 14 Captaciones,0.0,PIEZA
69,AS-T84A-PC,Tapa 84-A,2.0,PIEZA
70,AS-T84B-PC,Tapa 84-B,1.0,PIEZA
71,AS-TRBT66-PC,Tapa de Registro p/Baja Tensión 66x66,0.0,PIEZA
72,AS-TRS-PC,Tapa de Registro Sanitario 39.5x59.5,2.0,PIEZA
73,AS-TRS6645-PC,Tapa de Registro Sanitario 66x45,2.0,PIEZA
76,AP-1721,Broca para Despunteadora de 8mm,30.0,PIEZA
77,AP-1756,Despunteadora Neumática,0.0,JGO
78,AP-3014,"Lijadora Orbital Aleatoria 3en1 ONYX 6""",3.0,JGO
79,AP-3037,"Lijadora de Banda Neumática 1/2""x18""",0.0,PIEZA
80,AP-303740G,"Lija de Banda 1/2"" x 18"" Grano 40 10pzas",4.0,JGO
81,AP-303760G,"Lija de Banda 1/2"" x 18"" Grano 60 10pzas",0.0,JGO
82,AP-303780G,"Lija de Banda 1/2"" x 18"" Grano 80 10pzas",0.0,JGO
83,AP-3037PAR,3037 Pulley Assembly - Rubber,0.0,JGO
84,AP-3688,"Carrete de Manguera Deluxe 3/8""x15m",0.0,PIEZA
85,AP-3SB10,Adaptador de 3 Vías Giratorio p/Manguera,0.0,PIEZA
86,AP-4524,Kit para Remover Sujetadores y Molduras,4.0,JGO
87,AP-557003,Mesa deTrabajo en X Portátil 500Lb,0.0,PIEZA
88,AP-605PT,Pistola Solapadora ONYX 5.5mm,0.0,PIEZA
89,AP-608PT,Pistola Solapadora ONYX 8mm,0.0,PIEZA
90,AP-608ST,Solapadora ONYX 8mm,0.0,PIEZA
91,AP-7351,Cambiador Neumático de Aceite 8Gal,0.0,PIEZA
92,AP-7600,Pistola de Grapas p/Reparación Plásticos,4.0,JGO
93,AP-7600M,"Grapa tipo ""M"" para AP-7600 50pzas",6.0,JGO
94,AP-7600S,"Grapa tipo ""S"" para AP-7600 50pzas",10.0,JGO
95,AP-7600V,"Grapa tipo ""V"" para AP-7600 50pzas",9.0,JGO
96,AP-7600Z,"Grapa tipo ""Z"" para AP-7600 50pzas",3.0,JGO
97,AP-7767,Probador de Corriente con LCD,0.0,PIEZA
98,AP-7848,Kit para Servicio de Frenos,0.0,JGO
99,AP-7898,Juego de Luces de Prueba GM y NoidLite,0.0,JGO
100,AP-930,Sierra Reciprocante Neumática,0.0,PIEZA
101,AP-94220,"Pinzas para Anillos de Retención 0.050""",0.0,JGO
102,AP-94221,"Pinzas para Anillos de Retención 0.067""",0.0,JGO
103,AP-9425,Pistola de Calor de 2 Temperaturas,0.0,JGO
104,AP-WINDKO,Removedor Neumático de Parabrisas ONYX,0.0,JGO
107,33650,Conector OBDII para MaxiDAS DS708,0.0,PIEZA
108,42183,Cable Principal OBDII Maxisys MS908P,0.0,PIEZA
109,44287,Touch Pad para MaxiSys MS906,0.0,PIEZA
110,46504C,1-Sensor TPMS 315MHz+433MHz,1.0,PIEZA
111,47192C,Adaptador Chrysler 12+8 Post-2016,2.0,PIEZA
112,501002099,Batería de Alimentación para MS908,0.0,PIEZA
113,AL329,Scanner Autolink AL329,0.0,PIEZA
114,AL529,Scanner AutoLink AL529,0.0,PIEZA
115,AL529HD,AutoLink AL529HD,0.0,PIEZA
116,AL629,AutoLink AL629,0.0,PIEZA
117,CB-AL539,Cable para Equipos AL539,0.0,PIEZA
118,CP-MS,Cable principal para Maxisys Base,0.0,PIEZA
119,IM608,MaxiIM IM608,0.0,JGO
120,MAXITPMS PAD,MaxiTPMS PAD,1.0,JGO
121,MD802,MaxiDiag Elite MD802,0.0,PIEZA
122,MP408,MaxiScope MP408 Osciloscopio 4 Canales,0.0,JGO
123,MS906,Scanner Maxisys Tab,4.0,JGO
124,MS908SP,Scanner MaxiSys Pro,0.0,JGO
125,MV20885,Videoscopio Maxivideo 8.5mm,0.0,PIEZA
126,MX-S433,Sensor MX 433 MHz TPMS,0.0,PIEZA
127,MX808,Scanner MaxiCheck MX808,0.0,JGO
128,PS100,PowerScan PS100 6 a 30V,2.0,JGO
129,TS508K,MaxiTPMS TS508K,0.0,PIEZA
130,TS601,MaxiTPMS TS601,1.0,JGO
133,BAH1470KC3,Carrito de Herramienta con Tres Bandejas,2.0,PIEZA
134,BAHB220027,Desarmadores Aislados VDE y Probador 7pz,15.0,JGO
135,BAHBH12000,Gato de Patín Extra Bajo Perfil 2Ton,0.0,PIEZA
136,BAHBH23015C,Gato Hidroneumático 15T-30T,0.0,PIEZA
137,BAHBOD8901,Recibidor de Aceite 90L,0.0,PIEZA
140,BK-3550,Tina de Ultrasonido 0.8L Inox,0.0,PIEZA
143,BGS-1001,Llave Ajustable p/Sensor de Tanque 24mm,1.0,PIEZA
144,BGS-1006,Llave Especial p/Tapones d/Carter 8x10mm,4.0,PIEZA
145,BGS-10110,"Dado Largo Gear Lock 1/4""x10mm",1.0,PIEZA
146,BGS-1012,Llave Especial para Tapones de Carter,0.0,PIEZA
147,BGS-1014,"Juego de Dados para Tapón de Carter 3/8""",1.0,JGO
148,BGS-10154,"Dado Largo 1/4""x4mm Gear Lock",0.0,PIEZA
149,BGS-10155,"Dado Largo 1/4""x5mm Gear Lock",0.0,PIEZA
150,BGS-10156,"Dado Largo 1/4""x6mm Gear Lock",0.0,PIEZA
151,BGS-10157,"Dado Largo 1/4""x7mm Gear Lock",0.0,PIEZA
152,BGS-10158,"Dado Largo 1/4""x8mm Gear Lock",0.0,PIEZA
153,BGS-10159,"Dado Largo 1/4""x9mm Gear Lock",0.0,PIEZA
154,BGS-1016,"Dados para Tapón de Carter, 6pzas",3.0,JGO
155,BGS-10160,"Dado Largo 1/4""x10mm Gear Lock",0.0,PIEZA
156,BGS-10161,"Dado Largo 1/4""x11mm Gear Lock",0.0,PIEZA
157,BGS-10162,"Dado Largo 1/4""x12mm Gear Lock",0.0,PIEZA
158,BGS-10163,"Dado Largo 1/4""x13mm Gear Lock",0.0,PIEZA
159,BGS-10212,"Dado Multiusos GearLock 1/2""x12mm",0.0,PIEZA
160,BGS-10214,"Dado Multiusos GearLock 1/2""x14mm",0.0,PIEZA
161,BGS-10216,"Dado Multiusos GearLock 1/2""x16mm",0.0,PIEZA
162,BGS-10224,"Dado Multiusos GearLock 1/2""x24mm",0.0,PIEZA
163,BGS-10230,"Dado Multiusos GearLock 1/2""x30mm",0.0,PIEZA
164,BGS-10259,"Dado Largo Multiusos 1/2""x19mm",0.0,PIEZA
165,BGS-1027,Llave de Correa d/Acero Filtro de Aceite,2.0,PIEZA
166,BGS-1031,Llave para Filtro de Aceite 110mm,0.0,PIEZA
167,BGS-10310,"Dado Multiusos GearLock 3/8""x10mm",0.0,PIEZA
168,BGS-10312,"Dado Multiusos GearLock 3/8""x12mm",0.0,PIEZA
169,BGS-10315,"Dado Multiusos GearLock 3/8""x15mm",0.0,PIEZA
170,BGS-10318,"Dado Multiusos GearLock 3/8""x18mm",1.0,PIEZA
171,BGS-1033,Llave de Cadena p/Filtro de Aceite 115mm,0.0,PIEZA
172,BGS-1038,Pinzas de Presión para Filtros de Aceite,0.0,PIEZA
173,BGS-1039,"Llaves para Filtro de Aceite, 30pzas",1.0,JGO
174,BGS-1041,Llave para Filtro de Aceite 74mm,1.0,PIEZA
175,BGS-1042,Extractor de Filtro de Aceite 64 x P14,2.0,PIEZA
176,BGS-1047,Llave para Filtro de Aceite 65mmx14ptas,0.0,PIEZA
177,BGS-105,"Matraca Reversible Mango Giratorio 1/4""",0.0,PIEZA
178,BGS-10503,"Dado Largo ProTorque 1/4"" x 5.5mm",0.0,PIEZA
179,BGS-10507,"Dado Largo ProTorque 1/4"" x 7mm",0.0,PIEZA
180,BGS-10508,"Dado Largo ProTorque 1/4"" x 8mm",0.0,PIEZA
181,BGS-10510,"Dado Largo ProTorque 1/4"" x 10mm",0.0,PIEZA
182,BGS-10528,"Dado Largo 3/8""x8mm",0.0,PIEZA
183,BGS-10530,"Dado Largo 3/8""x10mm Pro Torque",0.0,PIEZA
184,BGS-10531,"Dado Largo 3/8""x11mm Pro Torque",0.0,PIEZA
185,BGS-10532,"Dado Largo 3/8""x12mm Pro Torque",0.0,PIEZA
186,BGS-10533,"Dado Largo 3/8""x13mm Pro Torque",0.0,PIEZA
187,BGS-10534,"Dado Largo 3/8""x14mm Pro Torque",0.0,PIEZA
188,BGS-10535,"Dado Largo 3/8""x15mm Pro Torque",0.0,PIEZA
189,BGS-10536,"Dado Largo 3/8""x16mm Pro Torque",0.0,PIEZA
190,BGS-10539,"Dado Largo 3/8""x19mm Pro Torque",0.0,PIEZA
191,BGS-10552,"Dado Largo ProTorque 1/2"" x 12mm",0.0,PIEZA
192,BGS-10553,"Dado Largo ProTorque 1/2"" x 13mm",0.0,PIEZA
193,BGS-10554,"Dado Largo ProTorque 1/2"" x 14mm",0.0,PIEZA
194,BGS-10556,"Dado Largo ProTorque 1/2"" x 16mm",0.0,PIEZA
195,BGS-10557,"Dado Largo ProTorque 1/2"" x 17mm",0.0,PIEZA
196,BGS-10559,"Dado Largo ProTorque 1/2"" x 19mm",0.0,PIEZA
197,BGS-1058,Llave Combinada 8mm,0.0,PIEZA
198,BGS-106,"Matraca Reversible Mango Giratorio 3/8""",0.0,PIEZA
199,BGS-1060,Llave Combinada 10mm,0.0,PIEZA
200,BGS-10610,"Dado ProTorque 3/8""x10mm",0.0,PIEZA
201,BGS-10611,"Dado ProTorque 3/8""x10mm",0.0,PIEZA
202,BGS-10612,"Dado ProTorque 3/8""x12mm",0.0,PIEZA
203,BGS-10613,"Dado ProTorque 3/8""x13mm",0.0,PIEZA
204,BGS-10614,"Dado ProTorque 3/8""x14mm",0.0,PIEZA
205,BGS-10615,"Dado ProTorque 3/8""x15mm",0.0,PIEZA
206,BGS-10616,"Dado ProTorque 3/8""x16mm",1.0,PIEZA
207,BGS-10617,"Dado ProTorque 3/8""x17mm",0.0,PIEZA
208,BGS-10618,"Dado ProTorque 3/8""x18mm",0.0,PIEZA
209,BGS-10619,"Dado ProTorque 3/8""x19mm",0.0,PIEZA
210,BGS-1062,Llave Combinada 12mm,0.0,PIEZA
211,BGS-10629,"Dado 1/2"" 12ptas 9mm",0.0,PIEZA
212,BGS-10631,"Dado 1/2"" 12ptas 11mm",0.0,PIEZA
213,BGS-10633,"Dado 1/2"" 12ptas 13mm",0.0,PIEZA
214,BGS-10636,"Dado 1/2"" 12ptas 16mm",0.0,PIEZA
215,BGS-10638,"Dado 1/2"" 12ptas 18mm",0.0,PIEZA
216,BGS-1064,Llave Combinada 14mm,0.0,PIEZA
217,BGS-10644,"Dado 1/2""x24mm 12ptas",0.0,PIEZA
218,BGS-10646,"Dado 1/2""x30mm 12ptas",0.0,PIEZA
219,BGS-10649,"Dado 1/2""x36mm 12ptas",0.0,PIEZA
220,BGS-10652,"Dado 1/4""x7/32"" Pro Torque",0.0,PIEZA
221,BGS-10653,"Dado 1/4""x1/4"" Pro Torque",0.0,PIEZA
222,BGS-10654,"Dado 1/4""x9/32"" Pro Torque",0.0,PIEZA
223,BGS-1068,Llave Combinada 18mm,0.0,PIEZA
224,BGS-10682,"Dado Largo 1/2"" 12ptas 15mm",0.0,PIEZA
225,BGS-10686,"Dado Largo 1/2"" 12ptas 19mm",1.0,PIEZA
226,BGS-10779,"Dado 12ptas 1/4""x9mm",0.0,PIEZA
227,BGS-10782,"Dado 12ptas 1/4""x12mm",1.0,PIEZA
228,BGS-1100,Llave Combinada 50mm,0.0,PIEZA
229,BGS-1110,Kit para Caliper de Frenos 18pzas,0.0,JGO
230,BGS-1111,Dados para Tuercas de Suspensión 4pzas,2.0,JGO
231,BGS-1112,Dados Especiales para Caliper de Frenos,0.0,JGO
232,BGS-1119,Reposicionador de Piston de Frenos 18pza,1.0,JGO
233,BGS-1119-1,Adaptador para Pistón de Frenos VW,5.0,PIEZA
234,BGS-1124,"Dado Universal para Piston de Freno 3/8""",9.0,PIEZA
235,BGS-1126,Reposicionador de Pistón de Freno,0.0,PIEZA
236,BGS-1131-MX,Opresor de Resortes de Suspensión,0.0,JGO
237,BGS-1138,"Dado para Sensor de Oxigeno 1/2""x22mm",0.0,PIEZA
238,BGS-1139,"Llave para Sensor de Oxígeno 3/8""x22mm",0.0,PIEZA
239,BGS-1140,Dados para Sensor de Oxigeno 7pzas,2.0,JGO
240,BGS-1147,Repuesto para Bruñidor 100mm 3pzas,0.0,JGO
241,BGS-115,"Matraca ""Ultra Thin"" para Puntas",0.0,JGO
242,BGS-1150,Charola Magnética Redonda 150mm,0.0,PIEZA
243,BGS-1151,Bandeja Magnética Inoxidable,0.0,PIEZA
244,BGS-1157,Bruñidor de Cilindro 168mm,4.0,PIEZA
245,BGS-1158,Soporte Magnético 4.5Kg,0.0,PIEZA
246,BGS-1159,Soporte Magnético para Herramientas Neum,0.0,PIEZA
247,BGS-1176,Soporte para 12 Llaves Combinadas,0.0,PIEZA
248,BGS-1188,Jgo Llaves Combinadas Extra Cortas 10pza,0.0,JGO
249,BGS-1190,Juego de Llaves Combinadas MM 25pzas,0.0,JGO
250,BGS-1195,Juego de Llaves Combinadas STD 12pzas,0.0,JGO
251,BGS-1196,Juego de Llaves Combinadas MM 25pzas,0.0,JGO
252,BGS-1209,Llaves Acodadas de Doble Estrella 8pzas,0.0,JGO
253,BGS-1214,Llaves Acodadas de Doble Estrella 12pzas,0.0,JGO
254,BGS-1214-10X11,Llave Acodada de Doble Estrella 10x11mm,0.0,JGO
255,BGS-1214-12X13,Llave Acodada de Doble Estrella 12x13mm,0.0,JGO
256,BGS-1214-14X15,Llave Acodada de Doble Estrella 14x15mm,0.0,JGO
257,BGS-1217,Juego de Llaves Media Luna MM 5pzas,0.0,JGO
258,BGS-1218,Juego de Llaves de Tubo 8pzas,2.0,JGO
259,BGS-1222,Juego de Llaves Media Luna STD 5pzas,0.0,JGO
260,BGS-1228-10,Llave Combinada 10mm Extra Larga,0.0,PIEZA
261,BGS-1228-13,Llave Combinada 13mm Extra Larga,0.0,PIEZA
262,BGS-1228-17,Llave Combinada 17mm Extra Larga,0.0,PIEZA
263,BGS-1228-19,Llave Combinada 19mm Extra Larga,0.0,PIEZA
264,BGS-123,Reparador de Tapón de Carter 114pzas,0.0,JGO
265,BGS-1230-1,Multiplicador de Torque,0.0,JGO
266,BGS-1257,Piedras para Bruñidor 100mm K280 3pzas,6.0,PIEZA
267,BGS-1301,Llave Especial p/Amortiguador c/Pin Oval,0.0,PIEZA
268,BGS-1326,Extractores de Clips de Tapizados,0.0,JGO
269,BGS-1327,Removedor de Molduras 11pzas,0.0,JGO
270,BGS-1328,Extractores de Clips INOX 5pzas,0.0,JGO
271,BGS-1414,Adaptador Desconector de Batería,1.0,PIEZA
272,BGS-1418,Pinza Ponchadora de Terminales 0.5-4mm,0.0,PIEZA
273,BGS-1419,Pinza Ponchadora de Terminales 0.5-6mm,2.0,PIEZA
274,BGS-1455,Llave de Cruz 355mm,0.0,PIEZA
275,BGS-1459,Llave de Cruz 355mm,0.0,PIEZA
276,BGS-1480,Pinza Trenzadora de Cables 200mm,0.0,PIEZA
277,BGS-149,Reparador de Cuerdas de Bujías 16pzas,0.0,JGO
278,BGS-150,Reparador de cuerdas de Bujías 5pzas,0.0,PIEZA
279,BGS-1518,Extractor de Juntas Homocinéticas,2.0,PIEZA
280,BGS-1521,Herramienta para Colocar de Abrazaderas,1.0,PIEZA
281,BGS-1529,Palanca para Llantas de Motos 370mm,26.0,PIEZA
282,BGS-1530,Palanca para Desmontar Neumáticos 250mm,30.0,PIEZA
283,BGS-155,Dado para Tuerca de Suspensión VW/Audi,9.0,PIEZA
284,BGS-15501,Juego Profesional de Herramientas 149pza,0.0,JGO
285,BGS-1596,Llaves Combinadas con Matraca MM 7pzas,0.0,JGO
286,BGS-161,Pinza p/Abrazaderas d/Junta Homocinetica,0.0,PIEZA
287,BGS-1616,Brocas Conicas Escalonadas HSS 3pzas,0.0,JGO
288,BGS-1650,Juego de Cinceles y Botadores 28pzas,0.0,JGO
289,BGS-1657,Juego de Cinceles y Botadores 12pzas,0.0,PIEZA
290,BGS-1672,Juego de Tases y Martillos 7pzas,1.0,JGO
291,BGS-1682,"Llave p/Bomba de Agua GM, Opel 41mm",2.0,PIEZA
292,BGS-1684,Llaves para Embrague de Ventilador 4pzas,1.0,JGO
293,BGS-1693,Cincel de Corte para Carrocería 90°,1.0,PIEZA
294,BGS-1722,Llave c/Matraca p/Líneas de Freno/Combus,0.0,PIEZA
295,BGS-173,"Adaptador de Impacto 1/2""x3/8""",0.0,PIEZA
296,BGS-1739,Pinza para Bujías 290mm 25°,0.0,PIEZA
297,BGS-174,"Adaptador de Impacto 3/8"" x 1/2""",0.0,PIEZA
298,BGS-1740,Ventosa para Esmerilar Válvulas 16x21mm,0.0,PIEZA
299,BGS-1741,Ventosa para Esmerilar Válvulas 28x34mm,0.0,PIEZA
300,BGS-1749,Desmontador y Remachado de Cadenas,0.0,JGO
301,BGS-1755,Llaves de Doble Anillo 10x11/12x13 2pzas,0.0,JGO
302,BGS-1757-32,"Llave de Pata de Cuervo 1/2""x32mm",0.0,PIEZA
303,BGS-176,Kit de Reparación para Matraca,0.0,JGO
304,BGS-1762,"Opresor de Válvulas ""Overhead""",7.0,PIEZA
305,BGS-1768,Opresor de Resortes de Válvula para Moto,5.0,JGO
306,BGS-177,Kit de Reparación para Matraca,0.0,JGO
307,BGS-1773,Probador d/Sistema d/Aire Acondicionado,0.0,JGO
308,BGS-178,Kit de Reparación para Matraca,4.0,JGO
309,BGS-1780,Pinza para Sellos de Válvula 250mm,0.0,PIEZA
310,BGS-1799,Trabador Universal de Poleas Doble,1.0,PIEZA
311,BGS-1804,Extractor Universal de Rotulas 20mm,0.0,PIEZA
312,BGS-1805,Extractor de Golpe para Rótulas 410mm,0.0,PIEZA
313,BGS-1808,Extractor para Rótulas 295mm,0.0,PIEZA
314,BGS-1809,Extractor para Rótulas 185mm,0.0,PIEZA
315,BGS-1812,Juego de Rompetuercas 2pzas,3.0,JGO
316,BGS-1824,Refractómetro,1.0,PIEZA
317,BGS-1826,Ahorcador de Mangueras 15mm,0.0,PIEZA
318,BGS-1828,Ahorcador de Mangueras 45mm,0.0,PIEZA
319,BGS-1834,Juego para Montaje de Rotulas 21pzas,2.0,JGO
320,BGS-1874,Juego Compresor de Anillos de Pistón,0.0,JGO
321,BGS-1878,Desmontador d/Válvulas Reversible 35-200,0.0,PIEZA
322,BGS-1887,Opresor de Anillos de Pistón 60-90mm,3.0,PIEZA
323,BGS-1888,Compresor de Anillos de Pistón 80-110mm,19.0,PIEZA
324,BGS-189,"Nudo de Impacto 3/8""",0.0,PIEZA
325,BGS-1895,Extractores de Tornillos Rotos 5pzas,0.0,JGO
326,BGS-1896,Jgo de Extractores de Tornillos 6pzas,0.0,JGO
327,BGS-190,"Nudo de Impacto 1/2""",0.0,PIEZA
328,BGS-1900,Jgo de Machuelos y Tarrajas 110pzas,0.0,JGO
329,BGS-1930,Calibrador Vernier Digital 150mm,0.0,PIEZA
330,BGS-1932,Calibrador Vernier Analógico 150mm,0.0,PIEZA
331,BGS-1938,Base Magnética p/Instrumentos d/Medición,0.0,PIEZA
332,BGS-1938-1,Micrómetro para BGS-1938,0.0,PIEZA
333,BGS-1939,Medidor de Tambores de Frenos 360mm,0.0,PIEZA
334,BGS-1940,Compresor d/Válvulas 72-240mm OHC,0.0,PIEZA
335,BGS-1941,Medidor Digital de Dibujo de Neumático,3.0,PIEZA
336,BGS-1950,Juego de Reparación de Cuerdas 130pzas,0.0,JGO
337,BGS-19500,Juego de Reparación de Rosca 130pzas,0.0,PIEZA
338,BGS-1961,Martillo de Goma 500g,0.0,PIEZA
339,BGS-1962,Martillo de Goma c/Fibra de Vidrio 750g,0.0,PIEZA
340,BGS-1980,Gira Machuelos tipo T con Matraca 80mm,0.0,PIEZA
341,BGS-1981,Porta Machuelos tipo T 110mm,4.0,PIEZA
342,BGS-1983,Gira Machuelos tipo T con Matraca 320mm,0.0,PIEZA
343,BGS-1994,Juego de Brocas HSS 170mm,0.0,JGO
344,BGS-1995,Juego de Brocas HSS 170mm,0.0,JGO
345,BGS-200,Jgo Adaptadores de Impacto 6pzas,4.0,JGO
346,BGS-2002,Gabinete d/Herramienta Multifunción 3en1,1.0,PIEZA
347,BGS-20103,"Juego de Puntas de Seguridad 1/4"" 208pza",0.0,JGO
348,BGS-2013,Brocas HSS Nitrato de Titanio 19pzas,0.0,JGO
349,BGS-2021,Juego de Brocas 1-13mm 26pzas,0.0,JGO
350,BGS-2027,"Dados 1/4"" y 3/8"" E-Type 7pzas",0.0,JGO
351,BGS-2038,"Juego de Dados 1/4"" y 3/8"" T-Star 12pzas",0.0,JGO
352,BGS-205,"Nudo Universal Pro Torque 3/8"" 10pzas",1.0,JGO
353,BGS-2087,Herramientas para Amortiguadores 18pzas,0.0,JGO
354,BGS-2101,Medidor Digital de Presión de Neumáticos,0.0,PIEZA
355,BGS-215,Juego de Matracas Cortas Stubby 3pzas,0.0,JGO
356,BGS-2152,"Juego de Dados Gear Lock 1/2"" 19pzas",0.0,JGO
357,BGS-2164,"Dados con Punta Torx 1/4"" T10-T50 9pzas",0.0,JGO
358,BGS-2165,"Dados Torx de Seguridad 1/4"" 9pzas",0.0,JGO
359,BGS-2181,Autocle Go-Througth GearLock 52pzas,0.0,JGO
360,BGS-2185,Cables de Prueba y Accesorios 15pzas,0.0,JGO
361,BGS-2188,Tacómetro Electrónico,0.0,PIEZA
362,BGS-2189,Comprobador de Baterías y Sistema de Car,0.0,PIEZA
363,BGS-2203,Multímetro Digital tipo Pinza,0.0,JGO
364,BGS-2220,"Extensión Oscilante 1/4"" x 150mm",0.0,PIEZA
365,BGS-2221,"Juego de Dados Largos 1/4"" MM 11pzas",0.0,JGO
366,BGS-2222,"Juego de Dados Largos 3/8"" MM 11pzas",0.0,JGO
367,BGS-2223,"Dados Largos 1/2"" MM 6ptas 9pzas",0.0,JGO
368,BGS-2224,"Juego de Dados y Matraca 1/2"" 27pzas",0.0,JGO
369,BGS-2231,"Extensión Oscilante 1/4"" x 100mm",0.0,PIEZA
370,BGS-2232,"Extensión Oscilante 1/4"" x 50mm",0.0,PIEZA
371,BGS-2243,"Autocle Pro Torque, 192pzas",0.0,JGO
372,BGS-2247,Autocle Gear Lock 192pzas,0.0,JGO
373,BGS-2253,Juego de Extensiones Oscilantes 9pzas,0.0,JGO
374,BGS-2259,Autocle Juego de Herramientas 214pzas,0.0,JGO
375,BGS-2260,Llave Torx Hembra E6 x E8,0.0,PIEZA
376,BGS-2268,Juego de Llaves E-Star 6pzas,0.0,JGO
377,BGS-2269,"Juego de Dados 1/4"" 12ptas MM 13pzas",0.0,JGO
378,BGS-228,"Maneral Articulado con Matraca 1/2""",0.0,PIEZA
379,BGS-2290-MX,Autocle Multiusos 218pzas,0.0,JGO
380,BGS-2292,Juego de Autocle de 192pzas,0.0,JGO
381,BGS-2317,"Riel para Dados 7 Clips 3/8""",0.0,PIEZA
382,BGS-233,"Extensión Oscilante 1/2"" x 50mm",0.0,PIEZA
383,BGS-2335,"Extensión 1/4""x100mm",0.0,PIEZA
384,BGS-2336,"Extensión 1/4""x50mm",0.0,PIEZA
385,BGS-2338,"Extensión 1/4""x150mm",0.0,PIEZA
386,BGS-234,"Extensión Oscilante 1/2"" x 125mm",0.0,PIEZA
387,BGS-235,"Extensión Oscilante 1/2"" x 250mm",0.0,PIEZA
388,BGS-2355,"Dados c/Punta Torx d/Seguridad 1/4"" 9pza",0.0,JGO
389,BGS-2356,"Dado con punta Torx 1/4""xT8 Seguridad",0.0,PIEZA
390,BGS-2357,"Dado con punta Torx 1/4""xT10 Seguridad",0.0,PIEZA
391,BGS-2358,"Dado con punta Torx 1/4""xT15 Seguridad",0.0,PIEZA
392,BGS-2359,"Dado con punta Torx 1/4"" T-STAR 38mm T20",0.0,PIEZA
393,BGS-236,"Extensión 1/2""x75mm",0.0,PIEZA
394,BGS-2360,"Dado Punta Torx 1/4""xT25 de Seguridad",0.0,PIEZA
395,BGS-2364,"Dado Punta Torx 1/4""xT9 de Seguridad",0.0,PIEZA
396,BGS-2368,"Dado 3/8""x8mm Super Lock",0.0,PIEZA
397,BGS-2370,"Dado 3/8"" x 10mm SuperLock",0.0,PIEZA
398,BGS-2385,"Dado para Bujías con Goma 1/2""x16mm",0.0,PIEZA
399,BGS-2386,"Dado para Bujías con Goma 1/2""x21mm",0.0,PIEZA
